experiment_id,sample_id,domain,method,round_trip,direction,canonical_included,exclusion_reason,execution_route,execution_status,commit_outcome,preservation_violations,rs,critical_failure,input_tokens,output_tokens,total_tokens,latency_ms,failure_stage,failure_label,raw_artifact_id,raw_call_ids,raw_ref
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,1,forward,true,,hybridpatch_protocol_failure_kept_context,degraded,kept_context,,,,9888,3138,13026,21263,model,empty_response,exp_20260713_problem15_official-raw-v1,call000001_28d6fb94,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt01/forward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,1,backward,true,,local_patch,success,unchanged,0,0.9999999999999999,false,9814,5014,14828,35851,none,none,exp_20260713_problem15_official-raw-v1,call000002_42e7e0de,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt01/backward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,2,forward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt02/forward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,2,backward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt02/backward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,3,forward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt03/forward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,3,backward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt03/backward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,4,forward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt04/forward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,4,backward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt04/backward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,5,forward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt05/forward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,5,backward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt05/backward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,6,forward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt06/forward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,6,backward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt06/backward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,7,forward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt07/forward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,7,backward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt07/backward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,8,forward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt08/forward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,8,backward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt08/backward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,9,forward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt09/forward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,9,backward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt09/backward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,10,forward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt10/forward
exp_20260713_problem15_official,crystal6,crystal,hybridpatch,10,backward,false,Missing committed row.,none,missing,missing,,,,,,,,infrastructure,infrastructure_incomplete,exp_20260713_problem15_official-raw-v1,,exp_20260713_problem15_official-raw-v1#hybridpatch/crystal6/rt10/backward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,1,forward,true,,fullrewrite,success,not_applicable,,,,4116,5969,10085,36485,none,none,exp_20260713_problem15_official-raw-v1,call000001_8a33b52e,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt01/forward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,1,backward,true,,fullrewrite,success,not_applicable,,0.9999999999999999,false,4267,4481,8748,26344,none,none,exp_20260713_problem15_official-raw-v1,call000002_1ed6a28f,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt01/backward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,2,forward,true,,fullrewrite,success,not_applicable,,,,4088,5047,9135,43292,none,none,exp_20260713_problem15_official-raw-v1,call000003_a8c3f9f1,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt02/forward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,2,backward,true,,fullrewrite,failure,not_applicable,,0.0,true,4127,2674,6801,15904,model,text_truncated,exp_20260713_problem15_official-raw-v1,call000004_a18ecf5b,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt02/backward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,3,forward,true,,fullrewrite,success,not_applicable,,,,324,3794,4118,32871,none,none,exp_20260713_problem15_official-raw-v1,call000005_769a28e6,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt03/forward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,3,backward,true,,fullrewrite,success,not_applicable,,0.10809245516388373,false,2608,2433,5041,12513,none,none,exp_20260713_problem15_official-raw-v1,call000006_9d2f0260,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt03/backward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,4,forward,true,,fullrewrite,success,not_applicable,,,,2471,25873,28344,150666,none,none,exp_20260713_problem15_official-raw-v1,call000007_91639f7b,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt04/forward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,4,backward,true,,fullrewrite,success,not_applicable,,0.10809245516388373,false,2827,18880,21707,108389,none,none,exp_20260713_problem15_official-raw-v1,call000008_6761a32c,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt04/backward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,5,forward,true,,fullrewrite,success,not_applicable,,,,2578,4396,6974,22523,none,none,exp_20260713_problem15_official-raw-v1,call000009_6de12726,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt05/forward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,5,backward,true,,fullrewrite,failure,not_applicable,,0.0,true,2571,2916,5487,18867,model,empty_response,exp_20260713_problem15_official-raw-v1,call000010_1a5e8928,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt05/backward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,6,forward,true,,fullrewrite,degraded,unchanged,,0.0,,330,5935,6265,38326,model,text_truncated,exp_20260713_problem15_official-raw-v1,call000011_940c99e7,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt06/forward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,6,backward,true,,fullrewrite,success,not_applicable,,0.14771428571428566,false,354,1055,1409,8343,none,none,exp_20260713_problem15_official-raw-v1,call000012_98383995,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt06/backward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,7,forward,true,,fullrewrite,failure,not_applicable,,0.0,,1289,18079,19368,118171,model,empty_response,exp_20260713_problem15_official-raw-v1,call000013_b0f86ddf,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt07/forward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,7,backward,true,,fullrewrite,failure,not_applicable,,0.0,true,302,428,730,3859,quality,content_regression,exp_20260713_problem15_official-raw-v1,call000014_ab85a879,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt07/backward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,8,forward,true,,fullrewrite,success,not_applicable,,,,354,1752,2106,15593,none,none,exp_20260713_problem15_official-raw-v1,call000015_effcc835,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt08/forward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,8,backward,true,,fullrewrite,failure,not_applicable,,0.0,false,1950,4794,6744,29494,model,empty_response,exp_20260713_problem15_official-raw-v1,call000016_0cec27b0,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt08/backward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,9,forward,true,,fullrewrite,degraded,unchanged,,0.0,,324,12541,12865,86969,model,empty_response,exp_20260713_problem15_official-raw-v1,call000017_84d55d26,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt09/forward
exp_20260713_problem15_official,crystal6,crystal,fullrewrite,9,backward,true,,fullrewrite,failure,not_applicable,,0.0,false,303,370,673,3733,quality,content_regression,exp_20260713_problem15_official-raw-v1,call000018_5efe4018,exp_20260713_problem15_official-raw-v1#fullrewrite/crystal6/rt09/backward
